50 75
1 2 15
2 3 4
3 4 8
4 5 22
5 6 7
6 7 19
7 8 3
8 9 12
9 10 5
10 11 25
11 12 11
12 13 9
13 14 17
14 15 2
15 16 14
16 17 6
17 18 20
18 19 8
19 20 13
20 21 21
21 22 5
22 23 16
23 24 10
24 25 7
25 26 18
26 27 9
27 28 3
28 29 24
29 30 15
30 31 6
31 32 12
32 33 22
33 34 8
34 35 19
35 36 1
36 37 14
37 38 23
38 39 5
39 40 10
40 41 17
41 42 4
42 43 11
43 44 20
44 45 6
45 46 13
46 47 9
47 48 21
48 49 7
49 50 16
1 5 35
5 10 42
10 15 28
15 20 33
20 25 12
25 30 45
30 35 19
35 40 27
40 45 31
45 50 14
1 10 50
10 20 44
20 30 39
30 40 26
40 50 38
2 12 18
12 22 29
22 32 41
32 42 23
42 50 36
5 25 48
25 45 15
3 33 24
13 43 30
8 28 47
